,Topic,Representative Post
0,0,please not not need get killed way many scientific document showing danger vaccine one made month different
1,0,would president take vaccine virus
2,0,house still take vaccine
3,0,hell especially mask not work
4,0,guess mean mask actually work
5,0,right mask not work
6,0,sending prayer speedy recovery you all
7,0,are behind you kyle praying speedy release
8,0,speedy recovery motley beeyouteeful
9,0,social worker arrive take care
10,0,send social worker deescalate situation
11,0,response necessary let handle better yet call social worker
12,0,caring governor killed nursing home resident belong prison
13,0,need spend holiday prison rest life nursing home death caused
14,0,you murderer nursing home resident
15,0,would think flip flop faucis kin much flipping doe
16,0,let flip flopping begin
17,0,flip flopper god know advise gave president behind closed door
18,0,god bless god speed
19,0,outrageous praying plan sidney must big shoulder god speed
20,0,take them gentleman god speed
21,0,cannot believe got vaccine nursing home elderly shameful
22,0,let remember cuomo one put sick covid patient nursing home exposed elderly that many death
23,0,biden behind vaccine asswipe cuomo would responsible elderly people nursing home death
24,0,doe not sound like social distancing
25,0,social distancing best dumbass
26,0,sooo mask social distancing waste money time
27,0,yea that not bank favor heh
28,0,yea something not right here
29,0,yea that not patriot
30,0,murder elderly get pay raise
31,0,wow kill thousand elderly people get promoted
32,0,elderly people killed disgrace
33,0,agree then fauci darling left say
34,0,actually deny fauci wrote this
35,0,liberal listen fauci make sure saying tell
36,0,that not mask face diaper catch shit spewing
37,0,dammm again face cindy cindy cindy away take violence big man house
38,0,nice face diaper chucky
39,0,would nice north carolina challenge death certificate also lockdown mask mandate still going
40,0,biden pelosi keep saying mandate mandate talking about mandate davos
41,0,biden promise nationwide mask mandate womandate babylon bee
42,0,heard that horrible side effect cancer
43,0,soon facing doninoe effect
44,0,what amazing news channel come stated side effect
45,0,well thank operation warp speed thanks
46,0,president trump legacy operation warp speed thank president working hard
47,0,operation warp speed failure trump saying great success
48,0,will not even worry abortion they are sterilized tho
49,0,effective what causing cancer sterility
50,0,agree sterilized never kid
51,0,hope terrorist driver received swift justice
52,0,swift justice lowly american
53,0,people need swift justice
54,0,agree flooded patient work out
55,0,patient timing everything coming soon
56,0,there meaning waiting help lord patient
57,0,will bet wearing mask aloneand car bahahaha
58,0,especially soul wear alone vehicle away human being
59,0,wearing muzzle interviewed alone
60,1,nice meet you first day getting hang thing
61,1,hey eric good see also trying get comfortable sight
62,1,glad stumbled upon this
63,1,troll back twitter guess cheater think that
64,1,back deadpool twitter belong
65,1,fuck troll back twitter
66,1,welcome dennymartin glad part parler truly trump supporter follow content maga
67,1,welcome christinalb glad part parler truly trump supporter follow content maga
68,1,welcome qasimbule glad part parler truly trump supporter follow content maga
69,1,big tech took video penny
70,1,coming guy take money big techhypocrite
71,1,time dismantled big tech
72,1,cannot see video post
73,1,cannot open stuff post
74,1,post can lin time
75,1,will happy help goat fucker meet maker
76,1,one day meet maker
77,1,haha eskeerd ahead prepare meet maker
78,1,maybe join diamond silk
79,1,diamond silk best dynamic duo social medium
80,1,loved diamond silk show
81,1,realized moderation setting set high tough conversation people approve everything might better parler turn new account
82,1,luvmedo think would rather invest time someone hide behind privacy filter account got make sure censor post bring real topic table next time flap
83,1,get tricky elected take challenge either break googleyoutube etc pas law may not censor want right side broadcasting put business need illegal
84,1,still trying figure function new parler vote lol
85,1,trying figure terry tom johnson
86,1,lol still trying figure
87,1,everyone brain delete account
88,1,deleting twitter easy decision wish felt way
89,1,still account delete bitch
90,1,yes president trump master chess player left play checker
91,1,will say will say trump playing five dimensional chess democrat still trying get checker arranged board happy new year
92,1,trump playing chess dems playing checker
93,1,everything trust greatlooking forward posting tomorrow
94,1,looking forward press conference
95,1,looking forward seeing proud boy get ass whipped today
96,1,trying find similar base totschooling gram officially make switch glad found you
97,1,fumbling around blocked glad find you
98,1,glad here learning way around
99,1,there tab verification select profile icon left
100,1,click small white youtube symbol bottom right
101,1,block rude people click upper right corner block feature think option person name come
102,1,need mass twitter exodus like facistbook
103,1,mass exodus facebook onby november
104,1,many every day mass exodus facebook planned
105,1,youdeactivate twitter account suspended allow action
106,1,account suspended twitter want truth getting out
107,1,include social medium like twitter instagram infamous facebook
108,1,hypocrited probably worry amount people leaving twitter parler
109,1,may banned facebook one but fiona rose diamond facebook
110,1,see anybody denying deleting tweet thing get deleted twitter none scared are still proud
111,1,looking youtube tutorial today effort navigate better
112,1,think need watch tutorial
113,1,quinzelle maybe youtube tutorial
114,1,wait minute lost without fact checker warning
115,1,fact check fact checker
116,1,not shocker snopes far left fact checker
117,1,got pardon crawl back hole shut election fat nixon lost
118,1,andrew yang minute need crawl back rock came from
119,1,crawl back hole nunez
120,1,another day another troll blocked
121,1,larrydollaz block idiot see made cut
122,1,another marxist bolshevik troll blocked
123,1,pay visit showing foot
124,1,dox asshole let visit
125,1,well maybe people pay visit too
126,1,sorry cannot help cannot even deactivate account
127,1,twitter suck deactivated mine today
128,1,deactivated account not twitter account
129,1,parlercom log not need app mac
130,1,remove parler apple store
131,1,apple pull parler next phone android next computer
132,1,amen friend fellow patriot
133,1,happy thanksgiving fellow patriot enjoy
134,1,cheer fellow pirate friend
135,1,guy need jail corruption vote creep
136,1,want creep like president
137,1,liberal men give creep
138,1,not user friendly guess take getting used twitter definitely addictive
139,1,apple ban app see linkedin wherever follow work need believe
140,1,let get facebook user
141,1,army follower follower maybe call supporter
142,1,leave already know censor follower find you
143,1,usually someone cool follower list
144,1,smallhandstrump thanks follow tho
145,1,thanks megyn help stopthesteal maga patriot follow will follow back
146,1,course fraud maga patriot give follow will follow back
147,1,not sound like candace owen
148,1,take court right behind candace owen
149,1,doe not sound like candace owen doe not talk like
150,1,keep posting parlor handle
151,1,thanks parlor creating place truth exist
152,1,not get parlor definitely not smooth
153,1,nope recordthe election not called house get fact straight
154,1,are not talking fact vote counted overseas well game
155,1,know switched conservative republican get fact straight
156,1,regular guy regular dummy
157,1,whatever say dummy get work
158,1,that spelled bitch dummy dummy
159,1,following echoed train patriot hit conductor page
160,1,thanks tod followed echoed
