,Topic,Representative Post
0,0,they are owned china
1,0,taiwan worried usa politics sorry israelite suspicious people not trust anyone say taiwan think liberal progressive narrow minded asian petite woman npd live nyc want laugh change diaper bed
2,0,let every patriot refuse purchase good made china difficult maybe type purchasing fast month allow little time fast again
3,0,stated would shut campaign went hiding pandemic like going whitehouse succeeds
4,0,always case not death level case twisted mean anything not trust anyone anymore politicized virus low get democrat
5,0,american people called politician corona virus exposed totalitarian facist among
6,0,well saidthis virus released purpose benefit china iran entire democratic party big tech medium followed using planted bogus election equipment entire group evilknew chance beat trump level playing field never underestimate far evil get waythey boundary never will
7,0,obvious far left democratic party coordinated virus china whole debacle motion evil evil evil
8,0,china make virus democrat pickup ball run agenda destroy america
9,0,hey two stooge ccp
10,0,last time sleeping giant woken dropped two nuke offender wonder emp would dropped ccp
11,0,near impossibleccp dumb fuck
12,0,make trump lose eric coomer
13,0,not sure worse chris andrew coumo make
14,0,eric coomer original old virgin
15,0,literally made think about making money big farma creating fake pandemic
16,0,love pandemic power come win win them
17,0,umm say middle age shit officially declare end pandemic now
18,0,like one russia russia russia
19,0,russian freedom navigation exercise nothing see here
20,0,russia russia russia brain washed fuck
21,0,god sake killing damn virus will
22,0,well sure caught software virus seam going around
23,0,let guaranteed there virus excuse let out
24,0,condolence family suspicious mainstream reporting ccp virus
25,0,fake medium news fake virus fake product nowadays made ccp ccp caused world war iii started fake virus ccp
26,0,ccp virus mutation not natural mutation came lab
27,0,bill barr today come guy come one indictment russian collusion hoax way speaking that democrat concerned possibility overseas interference must really upset ballot counted germany foreign place
28,0,remember though people raising issue kook russia collusionists truthtellers
29,0,funny case open shut within hour yet took year try find russian collusion trump fail are definitely question original story came shooting lie not believe original story
30,0,entire virus thought created dems ultimately unleashed not think single minute dems not human spreading thing
31,0,amazing virus always spike democrat want distraction
32,0,damn right garbage party democrat loosed virus convenient mother fucker
33,0,guess missed part survival rate math bit there
34,0,that wrong survival rate
35,0,case tiny percent may actually develop symptom survival rate
36,0,look like changing rule little side step greatest hoax history
37,0,biggest hoax world history one world order agenda like nazi germany control mass lie deceit control godgiven liberty complete future future child grandchild not okay not start fighting war lose freedom fast
38,0,seriously cannot keep hoax going agenda
39,0,clown still belief russia hoax lol many investigation come nothing give lol
40,0,would think realizes russia investigation hoax
41,0,failed see russian hoax not prepared leader pentagon would not want local dog catcher either
42,0,that funny think spy
43,0,not good spy plane seen saying
44,0,spy long not caught
45,0,hey eric not pickle kiss
46,0,not think eric did not get share
47,0,that great eric thanks sharing
48,0,swalwell used mouth position met jainping
49,0,mrlevin swallwell feinstein etal may committed treason let not skirt around issue
50,0,hope rep swalwell get tummy bubble
51,0,cdc apply secret illegal coronavirus patent fauci involved
52,0,major update pais navy patent internal email show various navy entity cleared pais apply patent basis operable interrelated patent would power propel protect hybrid air underwater craft using them field
53,0,patent aid cure that hidden year
54,1,welcome worldsokayestpilot glad part parler truly trump supporter follow content maga
55,1,welcome gaylefeaster glad part parler truly trump supporter follow content maga
56,1,welcome seniowski glad part parler truly trump supporter follow content maga
57,1,love follow told going
58,1,not forget follow back
59,1,theeditorialguru following back already
60,1,too nice meet you
61,1,nice meet you thanks doing
62,1,trying you meeting right
63,1,suggestion put parler handle twitter bio
64,1,people come parler not tweet
65,1,parler parlernews made sure share article twitter tweak nose too
66,1,expect lose lot follower
67,1,like weirdo brag follower smfh
68,1,waityour follower going sky rocket know
69,1,scary shit right never maga
70,1,got say lot folk are not maga
71,1,useless parasite trash fuck left fuck magaa
72,1,pretty disgusting got hit point spam
73,1,get new hook least spammer
74,1,guy post anal sex seems like either spam account thing work out
75,1,yes have joining too important right now appreciate leadership
76,1,different hopefully able join soon
77,1,joined would major following
78,1,psycho conspiracy momenti parley catching take callwhen returned ipad could not get back parleyit kept opening pinterest suddenly like ten try realize hitting pinterest button all damm app sure look like yours phew
79,1,exactly heard google already pulled parler google playstore
80,1,verified parler longer available google play
81,1,sarah signed too mallmanjurk
82,1,sarah almost fell chair read this went guy website last post made appears december see nothing referencing one link find this information others
83,1,sara looking forward seeing great post here
84,1,daffy duck tinker bell fantasizing administration
