,Topic,Representative Post
0,0,well trumpers not accept biden biden accept get back track
1,0,dead people voted biden
2,0,biden never ever president
3,0,million president doctor trump voter subtract million registered voter china joe actually received million hmmm
4,0,believe chinajoe got million vote president trump must million vote
5,0,got million vote will freeze over
6,0,harris not african american
7,0,harris assange executed first day office
8,0,maybe get harris president
9,0,kameltoe going put asylum
10,0,what old round wheel kameltoe
11,0,kameltoe heelsup harris say anything get vote love turnin trick
12,0,good trash rig thing get want sore loser think shit not stink
13,0,still sore loser year
14,0,truly insane over sore loser
15,0,young lady much smarter sleepy joe
16,0,two thumb way sleepy joe blow
17,0,serious medication like sleepy joe
18,0,swear become idiot not concede
19,0,maybe concede hope not leave office without conceding
20,0,not concede read again
21,0,mostly office presidentelect doe not even exist
22,0,presidentelect not office lol
23,0,office presidentelect office like world tallest midget
24,0,stopped talking hunter laptop
25,0,fbi sat hunter laptop hell
26,0,hunter laptop make joe completely unelectable vote million care
27,0,anyone notice president trump referring sleepy joe biden now show little respect adversary especially know you have won
28,0,great president elect got vote president history will not attend event nothing fckin weird that
29,0,wednesday december president elect joe biden still defeated trump election fair square even supreme court know trump loser president elect joe biden become president upcoming inauguration day there not single thing get deal
30,0,what hunter biden laptop extinct who big guy
31,0,hunter laptop given biden illegitimate presidentreject
32,0,big name exposed hunter biden laptop hell
33,0,judge nothing fucking crybaby
34,0,britcon admit crybaby trump lost move
35,0,crybaby blew chance ran
36,0,foolishness look quid pro quo
37,0,doj concernedthey fine silly small amount everything status quo quid pro quo ask joe
38,0,trump criticized president creepy old ugly bald quid pro quo pedo joe not
39,0,joe probably gave password
40,0,joe going wish never ran
41,0,thought joe going cure cancer
42,0,arrogant look joe bidens face look around incredulously say
43,0,fairness joe biden might actually think king england anyway
44,0,job done working joe biden
45,0,shall not kamala hang like case crud
46,0,kind like kamalhonot sure dumber tho
47,0,guess kamala make cut
48,0,show action obama shadow presidency got hand him master clown
49,0,not leader anything cannot even lead himself shithead puppet
50,0,puhleeez orginal thought head parroting puppet master saying
51,0,holding think biden get would release get kamala hear laptop supposedly much worse trump win
52,0,plan day not let stolen election result khlamydia harris stepping president
53,0,voted for creepy joe biden kamala harris reap shall sow republican told warned commie liberal governor creepy joe biden kamala hoe harris going shut america
54,0,would ever thought would like this crowd trump rally landslide
55,0,trump landslide hell yes
56,0,know landslide president trump
57,0,might cognitive dementia eye
58,0,better pushing daisy dementia joe two whore
59,0,several dementia patient completely correct
60,0,president trump better call mother fuck face corrupt china joe
61,0,china joe are not threat
62,0,china joe fing little army look like proud father
63,0,senile old man doe not realize white european politician though protected
64,0,tough talk senile old man whose forgotten senile old man
65,0,senile old putz danger himself
66,0,may rest peace heather heyers memory
67,0,twitter dead rest peace
68,0,that not dead rest peace
69,0,act like obama still not pulling deep state string
70,0,sugar want one pulling string behind scene
71,0,string attached puppet stay strong brother patriot
72,0,expertise came place hunter
73,0,one joe one hunter
74,0,hope hunter get what coming
