,Topic,Representative Post
0,0,twitter suspended trump account today might follow suit soon
1,0,got permanent ban facebook today
2,0,hey douglas deleted facebook account need communist facebook life
3,0,friday nov mass exodus facebook let hurt them
4,0,mass exodus facebook onby november
5,0,many every day mass exodus facebook planned
6,0,realize not potus account right fake account
7,0,gold badge not theactual president account
8,0,well known troll account love enrage
9,0,american need get informed walk like duck quack like duck might duck
10,0,not bill gate duck duck
11,0,walk like duck quack like duck usually duck
12,0,omg what good goose not good gander
13,0,what good goose good gander word true captain star ship enterprise make
14,0,that legit way count vote would anyone disagree already done what big deal what good goose good gander lol
15,0,jack dorsey bidding democratic overlord
16,0,dorsey zuckerberg need persecuted sedition platform made dark least one year
17,0,rico act dorsey zuckerberg
18,0,google control android market also removed parler
19,0,google removed parler app google store
20,0,apple talking mixing app store well
21,0,coin silver act betrayal one thing great president clear conscience
22,0,silver mine gold mine saith lord host haggai
23,0,piece silver daddy soros happy him
24,0,high influx new user
25,0,parler experiencing million new user traffic working patient kind
26,0,bit overwhelmed new user seem working hard upgrade server give time
27,0,criminal referral changing line email referral deleting them
28,0,leaving deleting phone account
29,0,account suspended sharing hunter biden crapsomething done
30,0,got kicked twitter lol
31,0,mate got nuked twitter must something said
32,0,got message dontdo twitter would kicked real fast
33,0,duckduckgo instead google search qanon drop
34,0,idiot except cortez nina santa maria simple duckduckgo search avoiding using google find american made tshirts
35,0,apparently google bought duck duck
36,0,off back fakebook shitter
37,0,back fakebook you are not wanted here
38,0,back shit book idiot
39,0,check judge bank account
40,0,check bank account shore account probably point
41,0,check worker bank account follow money
42,0,wear badge honor suspended purge general flynn
43,0,booted twitter yesterday lol wear badge honor since great company
44,0,add list too badge honor
45,0,fakebook full blown censor mode
46,0,glad say officially fakebook twatter done fully
47,0,yes take getting used fakebook beginning
48,0,never get support take bank
49,0,know make usd daily bitcoinforex market investment will teach invest start trading yourself bitcoin mining forex trading highly profitable start investing nowdm inquire register
50,0,would best move stock exchange
51,0,cool that looking for will check out thank you
52,0,kenarino thanks will check out
53,0,thanks definitely check out
54,1,communist news network even cnnn communist not news network
55,1,let burn abc cbs nbc msnbc cnn fox etc seditious traitor
56,1,retard cnn owned att hardly communist organization dumb shit
57,1,biden drawn queen diamond
58,1,voter fraud diamond silk said county ballot year straight red republican always ballot contacted project veritas
59,1,happy thanksgiving love appreciation blessed thankful you diamond silk
60,1,bye bye seattleyou voted nut job
61,1,drudge went bye bye almost year ago refuse even click
62,1,keep crawling bye felicia
63,1,maybe good reason clarifying
64,1,what official reason given
65,1,possible reason give that
66,1,another reason leave new york
67,1,another great reason texit
68,1,another reason killary need strung
69,1,find out let know
70,1,everyone try pray keep positive know difficult really need positivity right now also need good news source hope rumor true trump want start network maybe combine right side network newsmax hire hannity tucker laura
71,1,yes this know could done dot getting connected folk stake immense freedom going forward
72,1,mbrownpeanut news guy looking rating money fake news scandal century smh
73,1,where reporting voting fraud you all become cnn
74,1,know true main stream medium news
75,1,that ijust deleted fox hello newsmax
76,1,damn right love show way joined parler yesterday deleted fox news app
77,1,deleted foxnews app yesterday downloaded newsmax one america news
78,1,love show unlocking ancient secret bible greg kelly went ark lived also guve tunneltotowers changing car filter commercial work not get hungry fox you get message watch fox time
79,1,love greg kelly newsmax
80,1,love watching greg kelly newsmax
81,2,you are spoiling how coffee flowing out
82,2,ice cream served lol
83,2,not eat green egg ham eat turkey yam
84,2,ben jerry long communist revolting evil because will not support
85,2,annnnnd like ben jerry went business
86,2,time boycott ben jerry
87,3,please vote praying president trump win election
88,3,people praying president trump
89,3,would legally treasonous people going held accountable america watching praying
90,3,praying wishing quick recovery
91,3,praying full recovery victim justice
92,3,pray speedy recovery disease surviving
93,3,people called name humble pray seek face turn wicked way hear heaven forgive heal land chronicle
94,3,amen pray same stand united christ
95,3,likely giving again time humble ourselves sure individual called name forgive heal land
96,3,praying all stay safe thank you
97,3,stay coarse girl god bless you
98,3,rubio stay safe thank heart defend prayer
99,3,thank you god bless you
100,3,thank you bless you
101,3,love you thank doing gov bless
102,3,brazil good people pray god god bless president donald trump
103,3,god bless president trump god damn democrat tyrant
104,3,god bless president trump bless usa
105,3,god sent soldier mission evil among pray keep strong
106,3,standing spiritual battlefield fellow warriorlet stay close follow true leader jesus christ godsword word sword kairos discernment key
107,3,may god take hand guide right direction protect evil give wisdom fight attack upon liberty amen god bless
108,3,stay safe coming you
109,3,next time someone say stay safe you respond stay free
110,3,make sure you are ready protect though blm antifa surely there
111,3,wow fox want back pound sand
112,3,here symbolism you pyramid dollar slave revolt tired dragging rock base
113,3,not listening gretchin pound sand
114,3,light not enough must consequence swift sure
115,3,well god say going shine light darkness mask would dropped could not switch people like that love wart all
116,3,figuresbut knew let sun shine corrupted get rid also damn rino
117,3,may lord bless keep always thank
118,3,may god bless keep safe
119,3,god bless keep safe deliver victory
120,3,god bless dan many blessed year happy birthday brother
121,3,merry christmas dan family god bless
122,3,merry christmas family dan
123,3,like darth sideous turning anakin dark side
124,3,hey tucker going dark side disappointed becoming one
125,3,tucker joined dark side
126,3,patriot god bless america
127,3,called patriotism god bless america
128,3,god bless america patriot
129,3,fact even discussion make sick even possible biden dark winter
130,3,biden said itit long dark winter
131,3,noit will never safe much fog surrounding
132,3,tell stick sun doe not shine
133,3,feel free stick mine sun not shine someone else
134,3,parler private organization goggle shove sun not shine
135,3,head sand mentality definite censorship
136,3,wow head sand much lol
137,3,stick head sand cannot change history
138,3,stand the great one dan bongino
139,3,theisaact well could give dan bongino driver license first
140,3,dan bongino big stake parlerhe would never let happen
141,3,good idea love safe space parler not get triggered anymore
142,3,triggered need safe space
143,3,haha invaded safe space
144,3,holy shit explains lot
145,3,holy crap hand signal mean clap
146,3,holy crap john candy
147,3,eye sky new science sun grand solar minimum increase exposure cosmic ray affect heart cognitive function
148,3,amen moon orion back
149,3,left moon mar venus
150,3,trump team not allowed one not know one
151,3,team jesus christ team trump
152,3,send trump legal team
153,3,put armor god forth
154,3,ready armor god side not loose
155,3,covered full armor god one
156,3,please lord let true
157,3,please please please let true
158,3,please baby jesus let true
159,3,day january america enter one darkest day ever question survive joe biden kamala harris rain next four year
160,3,darkest day ahead asshole
161,3,beijing biden must premonition his hunter family darkest day ahead his hunter day gitmo execution treason
162,3,pray potus one who battle battle get weary tired need strength lord
163,3,god need fight upcoming epic battle protected fight ultimate battle evil feel good know
164,3,bot even taken power yet wake people insufferable unless prove everything praying you president country god bless
165,3,god bless you family usa
166,3,love you tommy started praying read heroic effort behalf trafficked youth britain thank speaking good man credit country
167,3,love you thank greatest president time praying you
168,3,like living twilight zone biblical
169,3,hello bad episode twilight zone
170,3,omg could not even made must twilight zone
171,3,ilk scared witless right coming light eventually otherwise would not dismissing loudly
172,3,dark coming light loser
173,3,keep lighthouse beaming fog darkness
174,3,give half chance light put completely
175,3,leaving dark side join people light
176,3,clue like light show smoke ever not lit way
177,3,stay safe keep safe pls
178,3,awesome stay safe watch back
179,3,please remain peaceful stay safe
180,4,supreme court standing not merit would say dinesh much american thought deed purpose anyone country
181,4,lawsuit georgia people secretary state
182,4,never enough evidence evidence could witnessed firsthand various judge justice court outcome would same nothing
183,4,matter tier justice system
184,4,supreme court highest court taken communist thug
185,4,two tiered justice system
186,4,time surround supreme court building
187,4,time supreme court step fix problem
188,4,marshall law time state cheated
189,4,did not show scotus
190,4,evidence right front them disgrace scotus
191,4,not major case scotus
192,4,well good who gathering evidence supreme court case
193,4,sure left provide best lawyer
194,4,would find good lawyer
195,4,evidence already seen say fraud
196,4,must watch tsp link evidence voter fraud
197,4,yet evidenceof voter fraud
198,5,looking forward patriotism colorblind unity right day not really expecting much anything left perhaps another toppled statue another wall spray painted hateful message sad true
199,5,say erasing history cutting face family picture not mean relationship not exist life existed then now changed evolved impacted you part story history instead movement erase american history not add statue historical figure show history add robert small add harriet tubman add abraham galloway add statue valiant black soldier hero fought honor america war taking erasing history communist dictatorship republic value truth
200,5,nothing racist statuezit represents time hisyoryprople want erase history dhould held accountable
201,5,yes never give never surrender
202,5,never give never give never give
203,5,never quit never give and never surrender
204,5,president biden not president never
205,5,biden never president take bank
206,5,guy never override president
207,5,either way still ball joe dementia
208,5,fraudulent election american people know joe biden dementia neurological problem unfit office
209,5,joe biden suffers dementiaso got going him
210,5,president donald trump best president ever
211,5,president trump people president best potus ever
212,5,trump best person president entire world
213,5,yes agree trump need put sleepy joe bed
214,5,look like someone going jail drop soap sleepy joe
215,5,must have sleepy joe campaigning location
216,5,wow pentagon called lid bet retreated basement
217,5,state legislator hiding basement hmmmm
218,5,need back basement belongs never president
219,5,plan largest sting history
220,5,biggest cheating ever american history
221,5,greatest coverup human history
222,5,yes given promise life
223,5,always promise something follow suck
224,5,plan promise make promise keep
225,5,joe biden never ever president beyond word express outraged never give
226,5,joe biden never president
227,5,picture year joe biden still never became president
228,5,socalled man worst president history
229,5,waste paper written worst president ever
230,5,contested worst year american history osa
231,5,whatever happens president half country believe fair square
232,5,hanso election fair square dipshit real president
233,5,got everything right fair square part
234,5,said the best yet come
235,5,best yet come trump
236,5,hang there best yet come
237,5,another real joe biden
238,5,give senile joe chance
239,5,look like joe biden
240,5,one favorite poem ever perfect president trump
241,5,best president ever love president trump
242,5,love trump best president life time
243,5,need seriously careful empty threat creepy joe cannot help
244,5,maria assuming creepy joe won not
245,5,yes along others father creepy joe obama
246,5,leader need taken away gitmo
247,5,ilhanomar need sent gitmo need sendherback
248,5,another rino need straight gitmo
249,5,yes know this puzzle president trump not organizing rich person
250,5,help president trump win election like know did
251,5,obviously know trump really presidency
252,5,breaking news pearl harbor bombed breaking news
253,5,pearl harbor incident happen again
254,5,pearl harbor great israel
255,5,china joe apparently bit uppity black folk marched back
256,5,pedophile joe resident china lock
257,5,beijing joe ccps man
258,5,thursday december president elect joe biden still defeated trump election fair square even supreme court know trump loser president elect joe biden become president upcoming inauguration day there not single thing stop sore loser get deal enjoy
259,5,wednesday december president elect joe biden still defeated trump election fair square even supreme court know trump loser president elect joe biden become president upcoming inauguration day there not single thing get deal
260,5,thursday december president elect joe biden still defeated trump election fair square even supreme court know trump loser president elect joe biden become president upcoming inauguration day there not single thing get deal
