,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10
-1,not,trump,people,like,get,need,would,president,election,know
Topic 0,vaccine,covid,virus,mask,not,flu,people,get,fauci,death
Topic 1,god,jesus,lord,amen,pray,not,evil,prevail,christ,faith
Topic 2,flynn,bless,christmas,thank,happy,god,general,merry,family,pardon
Topic 3,bitch,shit,like,nut,lmao,fucking,face,not,piece,ankle
Topic 4,party,republican,rino,rinos,new,trump,not,gop,patriot,vote
Topic 5,fox,newsmax,news,tucker,watch,hannity,bye,oan,watching,network
Topic 6,ballot,vote,machine,voting,recount,dead,dominion,not,audit,count
Topic 7,state,court,supreme,vote,elector,scotus,penny,election,mike,not
Topic 8,antifa,blm,police,defund,burn,capital,supporter,not,capitol,trump
Topic 9,fbi,doj,barr,bill,swalwell,cia,russia,gate,wray,fang
